poet,poem,party,birth_date_raw,death_date_raw,pub_date_raw,publication,notes,birth_date,death_date,pub_date,birth_year,birth_decade,birth_day_of_decade,birth_ring,birth_degrees,birth_degrees_end,death_year,death_decade,death_day_of_decade,death_ring,death_degrees,pub_year,pub_decade,pub_day_of_decade,pub_ring,pub_degrees,pub_degrees_end,ongoing_begin_degrees,ongoing_end_degrees,n_rings_total
Walt Whitman,Crossing Brooklyn Ferry,II,1819/05/31,1892/03/26,1860,Leaves of Grass,"Originally published in 1856 as ""Sun-Down Poem""",1819-05-31,1892-03-26,1860-01-01,1819,1810,3438,1,338.8,,1892.0,1890.0,816.0,9.0,80.3,1860,1860,1,6,0.0,36.0,,,9
Emily Dickinson,There is a solitude of space,III,1830/12/10,1886/05/15,1914,,Published in unedited form in The Poems of Emily Dickinson (1955),1830-12-10,1886-05-15,1914-01-01,1830,1830,344,1,33.8,,1886.0,1880.0,2327.0,6.0,229.2,1914,1910,1462,9,144.0,180.0,,,12
Emily Dickinson,Tell all the truth but tell it slant,III,1830/12/10,1886/05/15,1945,,Published in unedited form in The Poems of Emily Dickinson (1955),1830-12-10,1886-05-15,1945-01-01,1830,1830,344,1,33.8,,1886.0,1880.0,2327.0,6.0,229.2,1945,1940,1828,12,180.0,216.0,,,12
Lewis Carroll,The Walrus and the Carpenter,IV,1832/01/27,1898/01/14,1871,Through the Looking-Glass,,1832-01-27,1898-01-14,1871-01-01,1832,1830,757,1,74.5,,1898.0,1890.0,2936.0,7.0,289.3,1871,1870,366,5,36.0,72.0,,,7
Gerard Manley Hopkins,The Windhover,I,1844/07/28,1889/06/08,1914,Poems of Gerard Manley Hopkins,,1844-07-28,1889-06-08,1914-01-01,1844,1840,1671,1,164.6,,1889.0,1880.0,3447.0,5.0,339.6,1914,1910,1462,8,144.0,180.0,,,8
W. B. Yeats,Easter 1916,IV,1865/06/13,1939/01/28,1921,Michael Robartes and the Dancer,"Originally written in 1916, with an initial issue of 25 copies printed privately",1865-06-13,1939-01-28,1921-01-01,1865,1860,1991,1,196.1,,1939.0,1930.0,3315.0,8.0,326.7,1921,1920,367,7,36.1,72.1,,,8
W. B. Yeats,Meditations in Time of Civil War,IV,1865/06/13,1939/01/28,1928,The Tower,,1865-06-13,1939-01-28,1928-01-01,1865,1860,1991,1,196.1,,1939.0,1930.0,3315.0,8.0,326.7,1928,1920,2923,7,288.0,324.0,,,8
Robert W Service,The Cremation of Sam McGee,I,1874/01/16,1958/09/11,1907,Songs of Sourdough,,1874-01-16,1958-09-11,1907-01-01,1874,1870,1477,1,145.5,,1958.0,1950.0,3176.0,9.0,313.0,1907,1900,2557,4,252.0,288.0,,,9
T. S. Eliot,The Love Song of J. Alfred Prufrock,IV,1888/09/26,1965/01/04,Jun 1915,Poetry [magazine],Later published in Prufrock and Other Observations (1917),1888-09-26,1965-01-04,1915-06-01,1888,1880,3192,1,314.5,,1965.0,1960.0,1831.0,9.0,180.3,1915,1910,1978,4,194.9,230.9,,,9
Edna St. Vincent Millay,First Fig,II,1892/02/22,1950/10/19,1920,A Few Figs from Thistles,,1892-02-22,1950-10-19,1920-01-01,1892,1890,783,1,77.1,,1950.0,1950.0,292.0,7.0,28.7,1920,1920,1,4,0.0,36.0,,,7
Edna St. Vincent Millay,Dirge Without Music,II,1892/02/22,1950/10/19,1928,The Buck in the Snow and Other Poems,,1892-02-22,1950-10-19,1928-01-01,1892,1890,783,1,77.1,,1950.0,1950.0,292.0,7.0,28.7,1928,1920,2923,4,288.0,324.0,,,7
Dorothy Parker,News Item,III,1893/08/22,1967/06/07,1926,Enough Rope,,1893-08-22,1967-06-07,1926-01-01,1893,1890,1330,1,131.0,,1967.0,1960.0,2715.0,8.0,267.5,1926,1920,2193,4,216.0,252.0,,,8
Dorothy Parker,Song of One of the Girls,III,1893/08/22,1967/06/07,1926,Enough Rope,,1893-08-22,1967-06-07,1926-01-01,1893,1890,1330,1,131.0,,1967.0,1960.0,2715.0,8.0,267.5,1926,1920,2193,4,216.0,252.0,,,8
Dorothy Parker,Symptom Recital,III,1893/08/22,1967/06/07,1926,Enough Rope,,1893-08-22,1967-06-07,1926-01-01,1893,1890,1330,1,131.0,,1967.0,1960.0,2715.0,8.0,267.5,1926,1920,2193,4,216.0,252.0,,,8
