poet,poem,party,birth_date_raw,death_date_raw,pub_date_raw,notes,birth_date,death_date,pub_date,birth_year,birth_decade,birth_ring,birth_day_of_decade,birth_degrees,birth_degrees_end,death_year,death_decade,death_ring,death_day_of_decade,death_degrees,pub_year,pub_decade,pub_ring,pub_day_of_decade,pub_degrees,pub_degrees_end,ongoing_begin_degrees,ongoing_end_degrees,n_rings_total
Walt Whitman,Crossing Brooklyn Ferry,II,1819/05/31,1892/03/26,1860,"Originally published in 1856 as ""Sun-Down Poem""",1819-05-31,1892-03-26,1860-01-01,1819,1810,1,3437 days,338.8,,1892.0,1890.0,9.0,815 days,80.3,1860,1860,6,0 days,0.0,36.0,,,9
Emily Dickinson,There is a solitude of space,III,1830/12/10,1886/05/15,1914,Published in unedited form in The Poems of Emily Dickinson (1955),1830-12-10,1886-05-15,1914-01-01,1830,1830,1,343 days,33.8,,1886.0,1880.0,6.0,2326 days,229.3,1914,1910,9,1461 days,144.0,180.0,,,12
Emily Dickinson,Tell all the truth but tell it slant,III,1830/12/10,1886/05/15,1945,Published in unedited form in The Poems of Emily Dickinson (1955),1830-12-10,1886-05-15,1945-01-01,1830,1830,1,343 days,33.8,,1886.0,1880.0,6.0,2326 days,229.3,1945,1940,12,1827 days,180.1,216.1,,,12
Lewis Carroll,The Walrus and the Carpenter,IV,1832/01/27,1898/01/14,1871,,1832-01-27,1898-01-14,1871-01-01,1832,1830,1,756 days,74.5,,1898.0,1890.0,7.0,2935 days,289.3,1871,1870,5,365 days,36.0,72.0,,,7
Gerard Manley Hopkins,The Windhover,I,1844/07/28,1889/06/08,1914,,1844-07-28,1889-06-08,1914-01-01,1844,1840,1,1670 days,164.6,,1889.0,1880.0,5.0,3446 days,339.7,1914,1910,8,1461 days,144.0,180.0,,,8
W. B. Yeats,Easter 1916,IV,1865/06/13,1939/01/28,1921,"Originally written in 1916, with an initial issue of 25 copies printed privately",1865-06-13,1939-01-28,1921-01-01,1865,1860,1,1990 days,196.2,,1939.0,1930.0,8.0,3314 days,326.7,1921,1920,7,366 days,36.1,72.1,,,8
W. B. Yeats,Meditations in Time of Civil War,IV,1865/06/13,1939/01/28,1928,,1865-06-13,1939-01-28,1928-01-01,1865,1860,1,1990 days,196.2,,1939.0,1930.0,8.0,3314 days,326.7,1928,1920,7,2922 days,288.0,324.0,,,8
Robert W Service,The Cremation of Sam McGee,I,1874/01/16,1958/09/11,1907,,1874-01-16,1958-09-11,1907-01-01,1874,1870,1,1476 days,145.5,,1958.0,1950.0,9.0,3175 days,313.0,1907,1900,4,2556 days,252.0,288.0,,,9
T. S. Eliot,The Love Song of J. Alfred Prufrock,IV,1888/09/26,1965/01/04,1915,Later published in Prufrock and Other Observations (1917),1888-09-26,1965-01-04,1915-01-01,1888,1880,1,3191 days,314.6,,1965.0,1960.0,9.0,1830 days,180.4,1915,1910,4,1826 days,180.0,216.0,,,9
Edna St. Vincent Millay,First Fig,II,1892/02/22,1950/10/19,1920,,1892-02-22,1950-10-19,1920-01-01,1892,1890,1,782 days,77.1,,1950.0,1950.0,7.0,291 days,28.7,1920,1920,4,0 days,0.0,36.0,,,7
Edna St. Vincent Millay,Dirge Without Music,II,1892/02/22,1950/10/19,1928,,1892-02-22,1950-10-19,1928-01-01,1892,1890,1,782 days,77.1,,1950.0,1950.0,7.0,291 days,28.7,1928,1920,4,2922 days,288.0,324.0,,,7
Dorothy Parker,News Item,III,1893/08/22,1967/06/07,1926,,1893-08-22,1967-06-07,1926-01-01,1893,1890,1,1329 days,131.0,,1967.0,1960.0,8.0,2714 days,267.5,1926,1920,4,2192 days,216.1,252.1,,,8
Dorothy Parker,Song of One of the Girls,III,1893/08/22,1967/06/07,1926,,1893-08-22,1967-06-07,1926-01-01,1893,1890,1,1329 days,131.0,,1967.0,1960.0,8.0,2714 days,267.5,1926,1920,4,2192 days,216.1,252.1,,,8
Dorothy Parker,Symptom Recital,III,1893/08/22,1967/06/07,1926,,1893-08-22,1967-06-07,1926-01-01,1893,1890,1,1329 days,131.0,,1967.0,1960.0,8.0,2714 days,267.5,1926,1920,4,2192 days,216.1,252.1,,,8
W H Auden,Compline,I,1907/02/21,1973/09/29,1955,,1907-02-21,1973-09-29,1955-01-01,1907,1900,1,2607 days,257.0,,1973.0,1970.0,8.0,1367 days,134.8,1955,1950,6,1826 days,180.0,216.0,,,8
Philip Larkin,Coming,II,1922/08/09,1985/12/02,1955,,1922-08-09,1985-12-02,1955-01-01,1922,1920,1,951 days,93.7,,1985.0,1980.0,7.0,2162 days,213.1,1955,1950,4,1826 days,180.0,216.0,,,7
Wisława Szymborska,Vietnam,III,1923/07/02,2012/02/01,1967,,1923-07-02,2012-02-01,1967-01-01,1923,1920,1,1278 days,126.0,,2012.0,2010.0,10.0,761 days,75.0,1967,1960,5,2557 days,252.1,288.1,,,10
Carolyn Kizer,Déjeuner Sur l’Herbe,II,1925/12/10,2014/10/09,Oct/Nov 1963,,1925-12-10,2014-10-09,1963-01-01,1925,1920,1,2170 days,213.9,,2014.0,2010.0,10.0,1742 days,171.7,1963,1960,5,1096 days,108.0,144.0,,,10
Frank O’Hara,Mayakovsky,IV,1926/05/27,1966/07/25,1957,,1926-05-27,1966-07-25,1957-01-01,1926,1920,1,2338 days,230.5,,1966.0,1960.0,5.0,2397 days,236.3,1957,1950,4,2557 days,252.1,288.1,,,6
Frank O’Hara,Ave Maria,II,1926/05/27,1966/07/25,1964,,1926-05-27,1966-07-25,1964-01-01,1926,1920,1,2338 days,230.5,,1966.0,1960.0,5.0,2397 days,236.3,1964,1960,5,1461 days,144.0,180.0,,,6
Frank O’Hara,Homosexuality,II,1926/05/27,1966/07/25,May 1970,,1926-05-27,1966-07-25,1970-05-01,1926,1920,1,2338 days,230.5,,1966.0,1960.0,5.0,2397 days,236.3,1970,1970,6,120 days,11.8,47.8,,,6
Allen Ginsberg,A Supermarket in California,II,1926/06/03,1997/04/05,1956,,1926-06-03,1997-04-05,1956-01-01,1926,1920,1,2345 days,231.2,,1997.0,1990.0,8.0,2651 days,261.3,1956,1950,4,2191 days,216.0,252.0,,,8
Adrienne Rich,Song,III,1929/05/16,2012/03/27,1973,,1929-05-16,2012-03-27,1973-01-01,1929,1920,1,3423 days,337.4,,2012.0,2010.0,10.0,816 days,80.4,1973,1970,6,1096 days,108.0,144.0,,,10
Charles Wright,Lives of the Saints,II,1935/08/25,,1995,Later published in Black Zodiac (1997),1935-08-25,,1995-01-01,1935,1930,1,2062 days,203.3,,,,,,,1995,1990,7,1826 days,180.0,216.0,216.0,232.3,10
Margaret Atwood,You Take My Hand,II,1939/11/18,,1971,,1939-11-18,,1971-01-01,1939,1930,1,3608 days,355.7,,,,,,,1971,1970,5,365 days,36.0,72.0,216.0,232.3,10
Robert Hass,Meditation at Lagunitas,I,1941/03/01,,1979,,1941-03-01,,1979-01-01,1941,1940,1,425 days,41.9,,,,,,,1979,1970,4,3287 days,324.0,360.0,216.0,232.3,9
Robert Hass,Spring Drawing 2,I,1941/03/01,,1989,,1941-03-01,,1989-01-01,1941,1940,1,425 days,41.9,,,,,,,1989,1980,5,3288 days,324.1,360.1,216.0,232.3,9
Sharon Olds,When They Say You Have Maybe Three Months to Live,III,1942/11/19,,2022,,1942-11-19,,2022-01-01,1942,1940,1,1053 days,103.8,,,,,,,2022,2020,9,731 days,72.1,108.1,216.0,232.3,9
Michael Ondaatje,The Cinnamon Peeler,I,1943/09/12,,1985,,1943-09-12,,1985-01-01,1943,1940,1,1350 days,133.1,,,,,,,1985,1980,5,1827 days,180.1,216.1,216.0,232.3,9
Alice Notley,At Night the States,III,1945/11/08,2025/05/19,2006,,1945-11-08,2025-05-19,2006-01-01,1945,1940,1,2138 days,210.8,,2025.0,2020.0,9.0,1965 days,193.7,2006,2000,7,2192 days,216.1,252.1,,,9
Mary Ruefle,Vapor Wake,II,1952/04/16,,May 2020,,1952-04-16,,2020-05-01,1952,1950,1,836 days,82.4,,,,,,,2020,2020,8,121 days,11.9,47.9,216.0,232.3,8
Rita Dove,American Smooth,III,1952/08/28,,2004,,1952-08-28,,2004-01-01,1952,1950,1,970 days,95.6,,,,,,,2004,2000,6,1461 days,144.0,180.0,216.0,232.3,8
